19:14:00.685: Position 1: FM90
19:19:15.721: Message received: teamAwesome,p@55w04d,1,HH88
19:19:15.721: Awarded: 0 pts
19:19:15.722: Message received: teamAwesome,p@55w04d,2,MW25
19:19:15.723: Awarded: 6 pts
19:19:15.725: Message received: teamAwesome,p@55w04d,3,HH88
19:19:15.730: Awarded: 0 pts
19:19:15.733: Message received: teamAwesome,p@55w04d,4,AH77
19:19:15.735: Awarded: 0 pts
19:19:15.737: Message received: teamAwesome,p@55w04d,5,HA91
19:19:15.741: Awarded: 6 pts
19:19:15.745: Message received: teamAwesome,p@55w04d,6,PV49
19:19:15.750: Awarded: 6 pts
19:19:15.784: Message received: teamAwesome,p@55w04d,1,HH88
19:19:15.786: Awarded: 0 pts
19:19:15.791: Message received: teamAwesome,p@55w04d,2,MW25
19:19:15.793: Awarded: 6 pts
19:19:15.798: Message received: teamAwesome,p@55w04d,3,HH88
19:19:15.800: Awarded: 0 pts
19:19:15.801: Message received: teamAwesome,p@55w04d,4,AH77
19:19:15.804: Awarded: 0 pts
19:19:15.807: Message received: teamAwesome,p@55w04d,5,HA91
19:19:15.808: Awarded: 6 pts
19:19:15.813: Message received: teamAwesome,p@55w04d,6,PV49
19:19:15.815: Awarded: 6 pts
19:19:15.849: Message received: teamAwesome,p@55w04d,1,HH88
19:19:15.856: Awarded: 0 pts
19:19:15.858: Message received: teamAwesome,p@55w04d,2,MW25
19:19:15.866: Awarded: 6 pts
19:19:15.895: Message received: teamAwesome,p@55w04d,3,HH88
19:19:15.903: Awarded: 0 pts
19:19:15.904: Message received: teamAwesome,p@55w04d,4,AH77
19:19:15.905: Awarded: 0 pts
19:19:15.907: Message received: teamAwesome,p@55w04d,5,HA91
19:19:15.910: Awarded: 6 pts
19:19:15.912: Message received: teamAwesome,p@55w04d,6,PV49
19:19:15.914: Awarded: 6 pts
19:19:15.954: Message received: teamAwesome,p@55w04d,1,HH88
19:19:15.955: Awarded: 0 pts
19:19:15.956: Message received: teamAwesome,p@55w04d,2,MW25
19:19:15.957: Awarded: 6 pts
19:19:15.957: Message received: teamAwesome,p@55w04d,3,HH88
19:19:15.959: Awarded: 0 pts
19:19:15.959: Message received: teamAwesome,p@55w04d,4,AH77
19:19:15.961: Awarded: 0 pts
19:19:15.965: Message received: teamAwesome,p@55w04d,5,HA91
19:19:15.967: Awarded: 6 pts
19:19:15.969: Message received: teamAwesome,p@55w04d,6,PV49
19:19:15.970: Awarded: 6 pts
19:19:15.997: Message received: teamAwesome,p@55w04d,1,HH88
19:19:16.001: Awarded: 0 pts
19:19:16.004: Message received: teamAwesome,p@55w04d,2,MW25
19:19:16.005: Awarded: 6 pts
19:19:16.006: Message received: teamAwesome,p@55w04d,3,HH88
19:19:16.008: Awarded: 0 pts
19:19:16.012: Message received: teamAwesome,p@55w04d,4,AH77
19:19:16.017: Awarded: 0 pts
19:19:16.018: Message received: teamAwesome,p@55w04d,5,HA91
19:19:16.020: Awarded: 6 pts
19:19:16.021: Message received: teamAwesome,p@55w04d,6,PV49
19:19:16.028: Awarded: 6 pts
19:19:16.046: Message received: teamAwesome,p@55w04d,1,HH88
19:19:16.047: Awarded: 0 pts
19:19:16.051: Message received: teamAwesome,p@55w04d,2,MW25
19:19:16.054: Awarded: 6 pts
19:19:16.057: Message received: teamAwesome,p@55w04d,3,HH88
19:19:16.062: Awarded: 0 pts
19:19:16.070: Message received: teamAwesome,p@55w04d,4,AH77
19:19:16.076: Awarded: 0 pts
19:19:16.080: Message received: teamAwesome,p@55w04d,5,HA91
19:19:16.086: Awarded: 6 pts
19:19:16.089: Message received: teamAwesome,p@55w04d,6,PV49
19:19:16.091: Awarded: 6 pts
19:19:16.103: Message received: teamAwesome,p@55w04d,1,HH88
19:19:16.116: Awarded: 0 pts
19:19:16.119: Message received: teamAwesome,p@55w04d,2,MW25
19:19:16.121: Awarded: 6 pts
19:19:16.124: Message received: teamAwesome,p@55w04d,3,HH88
19:19:16.126: Awarded: 0 pts
19:19:16.129: Message received: teamAwesome,p@55w04d,4,AH77
19:19:16.132: Awarded: 0 pts
19:19:16.138: Message received: teamAwesome,p@55w04d,5,HA91
19:19:16.140: Awarded: 6 pts
19:19:16.141: Message received: teamAwesome,p@55w04d,6,PV49
19:19:16.144: Awarded: 6 pts
19:19:16.158: Message received: teamAwesome,p@55w04d,1,HH88
19:19:16.159: Awarded: 0 pts
19:19:16.162: Message received: teamAwesome,p@55w04d,2,MW25
19:19:16.165: Awarded: 6 pts
19:19:16.166: Message received: teamAwesome,p@55w04d,3,HH88
19:19:16.172: Awarded: 0 pts
19:19:16.174: Message received: teamAwesome,p@55w04d,4,AH77
19:19:16.176: Awarded: 0 pts
19:19:16.178: Message received: teamAwesome,p@55w04d,5,HA91
19:19:16.179: Awarded: 6 pts
19:19:16.182: Message received: teamAwesome,p@55w04d,6,PV49
19:19:16.191: Awarded: 6 pts
19:19:16.928: Message received: teamAwesome,p@55w04d,1,HH88
19:19:16.929: Awarded: 0 pts
19:19:16.931: Message received: teamAwesome,p@55w04d,2,MW25
19:19:16.932: Awarded: 6 pts
19:19:16.933: Message received: teamAwesome,p@55w04d,3,HH88
19:19:16.934: Awarded: 0 pts
19:19:16.936: Message received: teamAwesome,p@55w04d,4,AH77
19:19:16.943: Awarded: 0 pts
19:19:16.947: Message received: teamAwesome,p@55w04d,5,HA91
19:19:16.952: Awarded: 6 pts
19:19:16.954: Message received: teamAwesome,p@55w04d,6,PV49
19:19:16.955: Awarded: 6 pts
19:19:16.970: Message received: teamAwesome,p@55w04d,1,HH88
19:19:16.973: Awarded: 0 pts
19:19:16.976: Message received: teamAwesome,p@55w04d,2,MW25
19:19:16.979: Awarded: 6 pts
19:19:16.982: Message received: teamAwesome,p@55w04d,3,HH88
19:19:16.986: Awarded: 0 pts
19:19:16.989: Message received: teamAwesome,p@55w04d,4,AH77
19:19:16.992: Awarded: 0 pts
19:19:16.994: Message received: teamAwesome,p@55w04d,5,HA91
19:19:16.997: Awarded: 6 pts
19:19:16.998: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.000: Awarded: 6 pts
19:19:17.028: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.030: Awarded: 0 pts
19:19:17.031: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.032: Awarded: 6 pts
19:19:17.035: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.039: Awarded: 0 pts
19:19:17.041: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.045: Awarded: 0 pts
19:19:17.050: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.053: Awarded: 6 pts
19:19:17.055: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.058: Awarded: 6 pts
19:19:17.077: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.079: Awarded: 0 pts
19:19:17.080: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.081: Awarded: 6 pts
19:19:17.082: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.083: Awarded: 0 pts
19:19:17.086: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.087: Awarded: 0 pts
19:19:17.088: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.090: Awarded: 6 pts
19:19:17.091: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.095: Awarded: 6 pts
19:19:17.134: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.136: Awarded: 0 pts
19:19:17.138: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.139: Awarded: 6 pts
19:19:17.142: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.143: Awarded: 0 pts
19:19:17.147: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.149: Awarded: 0 pts
19:19:17.151: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.157: Awarded: 6 pts
19:19:17.158: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.159: Awarded: 6 pts
19:19:17.176: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.182: Awarded: 0 pts
19:19:17.183: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.183: Awarded: 6 pts
19:19:17.184: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.185: Awarded: 0 pts
19:19:17.186: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.188: Awarded: 0 pts
19:19:17.189: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.193: Awarded: 6 pts
19:19:17.194: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.197: Awarded: 6 pts
19:19:17.218: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.219: Awarded: 0 pts
19:19:17.220: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.221: Awarded: 6 pts
19:19:17.222: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.223: Awarded: 0 pts
19:19:17.224: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.225: Awarded: 0 pts
19:19:17.226: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.227: Awarded: 6 pts
19:19:17.229: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.231: Awarded: 6 pts
19:19:17.262: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.263: Awarded: 0 pts
19:19:17.264: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.266: Awarded: 6 pts
19:19:17.267: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.269: Awarded: 0 pts
19:19:17.270: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.271: Awarded: 0 pts
19:19:17.273: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.278: Awarded: 6 pts
19:19:17.279: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.280: Awarded: 6 pts
19:19:17.372: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.375: Awarded: 0 pts
19:19:17.376: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.385: Awarded: 6 pts
19:19:17.389: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.391: Awarded: 0 pts
19:19:17.392: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.394: Awarded: 0 pts
19:19:17.397: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.407: Awarded: 6 pts
19:19:17.411: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.414: Awarded: 6 pts
19:19:17.526: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.527: Awarded: 0 pts
19:19:17.528: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.530: Awarded: 6 pts
19:19:17.532: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.534: Awarded: 0 pts
19:19:17.535: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.536: Awarded: 0 pts
19:19:17.541: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.542: Awarded: 6 pts
19:19:17.543: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.543: Awarded: 6 pts
19:19:17.595: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.597: Awarded: 0 pts
19:19:17.599: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.600: Awarded: 6 pts
19:19:17.609: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.617: Awarded: 0 pts
19:19:17.618: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.622: Awarded: 0 pts
19:19:17.624: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.625: Awarded: 6 pts
19:19:17.629: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.633: Awarded: 6 pts
19:19:17.705: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.707: Awarded: 0 pts
19:19:17.707: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.711: Awarded: 6 pts
19:19:17.713: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.716: Awarded: 0 pts
19:19:17.718: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.720: Awarded: 0 pts
19:19:17.721: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.723: Awarded: 6 pts
19:19:17.724: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.728: Awarded: 6 pts
19:19:17.823: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.824: Awarded: 0 pts
19:19:17.825: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.826: Awarded: 6 pts
19:19:17.830: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.835: Awarded: 0 pts
19:19:17.843: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.845: Awarded: 0 pts
19:19:17.848: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.850: Awarded: 6 pts
19:19:17.852: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.856: Awarded: 6 pts
19:19:17.922: Message received: teamAwesome,p@55w04d,1,HH88
19:19:17.924: Awarded: 0 pts
19:19:17.925: Message received: teamAwesome,p@55w04d,2,MW25
19:19:17.926: Awarded: 6 pts
19:19:17.928: Message received: teamAwesome,p@55w04d,3,HH88
19:19:17.931: Awarded: 0 pts
19:19:17.932: Message received: teamAwesome,p@55w04d,4,AH77
19:19:17.936: Awarded: 0 pts
19:19:17.938: Message received: teamAwesome,p@55w04d,5,HA91
19:19:17.942: Awarded: 6 pts
19:19:17.944: Message received: teamAwesome,p@55w04d,6,PV49
19:19:17.952: Awarded: 6 pts
19:19:18.059: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.061: Awarded: 0 pts
19:19:18.062: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.063: Awarded: 6 pts
19:19:18.063: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.065: Awarded: 0 pts
19:19:18.066: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.067: Awarded: 0 pts
19:19:18.068: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.073: Awarded: 6 pts
19:19:18.077: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.082: Awarded: 6 pts
19:19:18.181: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.183: Awarded: 0 pts
19:19:18.184: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.185: Awarded: 6 pts
19:19:18.187: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.188: Awarded: 0 pts
19:19:18.190: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.191: Awarded: 0 pts
19:19:18.194: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.198: Awarded: 6 pts
19:19:18.199: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.203: Awarded: 6 pts
19:19:18.346: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.348: Awarded: 0 pts
19:19:18.352: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.353: Awarded: 6 pts
19:19:18.354: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.355: Awarded: 0 pts
19:19:18.356: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.357: Awarded: 0 pts
19:19:18.362: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.367: Awarded: 6 pts
19:19:18.371: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.374: Awarded: 6 pts
19:19:18.416: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.417: Awarded: 0 pts
19:19:18.418: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.419: Awarded: 6 pts
19:19:18.421: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.422: Awarded: 0 pts
19:19:18.424: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.425: Awarded: 0 pts
19:19:18.426: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.427: Awarded: 6 pts
19:19:18.428: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.433: Awarded: 6 pts
19:19:18.561: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.563: Awarded: 0 pts
19:19:18.564: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.565: Awarded: 6 pts
19:19:18.566: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.568: Awarded: 0 pts
19:19:18.572: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.573: Awarded: 0 pts
