19:49:18.222: Position 1: FW75
19:51:12.829: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.831: Awarded: 0 pts
19:51:12.933: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:12.934: Awarded: 0 pts
19:51:12.935: Message received: teamAwesome,p@55w04d,2,KH78
19:51:12.936: Awarded: 0 pts
19:51:12.937: Message received: teamAwesome,p@55w04d,3,KS79
19:51:12.938: Awarded: 0 pts
19:51:12.939: Message received: teamAwesome,p@55w04d,4,HH87
19:51:12.941: Awarded: 0 pts
19:51:12.942: Message received: teamAwesome,p@55w04d,5,AA00
19:51:12.943: Awarded: 0 pts
19:51:12.950: Message received: teamAwesome,p@55w04d,6,AA00
19:51:12.951: Awarded: 0 pts
19:51:13.057: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.058: Awarded: 0 pts
19:51:13.060: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.066: Awarded: 0 pts
19:51:13.068: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.070: Awarded: 0 pts
19:51:13.077: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.080: Awarded: 0 pts
19:51:13.081: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.082: Awarded: 0 pts
19:51:13.083: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.094: Awarded: 0 pts
19:51:13.272: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.274: Awarded: 0 pts
19:51:13.275: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.276: Awarded: 0 pts
19:51:13.277: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.278: Awarded: 0 pts
19:51:13.282: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.283: Awarded: 0 pts
19:51:13.285: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.293: Awarded: 0 pts
19:51:13.298: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.302: Awarded: 0 pts
19:51:13.383: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.389: Awarded: 0 pts
19:51:13.390: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.391: Awarded: 0 pts
19:51:13.401: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.404: Awarded: 0 pts
19:51:13.409: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.416: Awarded: 0 pts
19:51:13.419: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.420: Awarded: 0 pts
19:51:13.422: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.423: Awarded: 0 pts
19:51:13.458: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.462: Awarded: 0 pts
19:51:13.464: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.466: Awarded: 0 pts
19:51:13.468: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.474: Awarded: 0 pts
19:51:13.479: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.482: Awarded: 0 pts
19:51:13.484: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.487: Awarded: 0 pts
19:51:13.493: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.496: Awarded: 0 pts
19:51:13.532: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.534: Awarded: 0 pts
19:51:13.535: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.536: Awarded: 0 pts
19:51:13.538: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.540: Awarded: 0 pts
19:51:13.541: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.545: Awarded: 0 pts
19:51:13.546: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.549: Awarded: 0 pts
19:51:13.552: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.554: Awarded: 0 pts
19:51:13.642: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.644: Awarded: 0 pts
19:51:13.645: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.647: Awarded: 0 pts
19:51:13.648: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.649: Awarded: 0 pts
19:51:13.653: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.656: Awarded: 0 pts
19:51:13.658: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.659: Awarded: 0 pts
19:51:13.660: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.665: Awarded: 0 pts
19:51:13.714: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.717: Awarded: 0 pts
19:51:13.718: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.719: Awarded: 0 pts
19:51:13.719: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.720: Awarded: 0 pts
19:51:13.727: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.728: Awarded: 0 pts
19:51:13.729: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.733: Awarded: 0 pts
19:51:13.741: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.744: Awarded: 0 pts
19:51:13.831: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.833: Awarded: 0 pts
19:51:13.837: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.838: Awarded: 0 pts
19:51:13.840: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.841: Awarded: 0 pts
19:51:13.843: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.844: Awarded: 0 pts
19:51:13.848: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.854: Awarded: 0 pts
19:51:13.856: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.858: Awarded: 0 pts
19:51:13.963: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:13.967: Awarded: 0 pts
19:51:13.968: Message received: teamAwesome,p@55w04d,2,KH78
19:51:13.969: Awarded: 0 pts
19:51:13.972: Message received: teamAwesome,p@55w04d,3,KS79
19:51:13.973: Awarded: 0 pts
19:51:13.974: Message received: teamAwesome,p@55w04d,4,HH87
19:51:13.975: Awarded: 0 pts
19:51:13.978: Message received: teamAwesome,p@55w04d,5,AA00
19:51:13.979: Awarded: 0 pts
19:51:13.980: Message received: teamAwesome,p@55w04d,6,AA00
19:51:13.981: Awarded: 0 pts
19:51:14.172: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.173: Awarded: 0 pts
19:51:14.175: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.176: Awarded: 0 pts
19:51:14.180: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.184: Awarded: 0 pts
19:51:14.186: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.194: Awarded: 0 pts
19:51:14.201: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.205: Awarded: 0 pts
19:51:14.210: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.212: Awarded: 0 pts
19:51:14.282: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.283: Awarded: 0 pts
19:51:14.285: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.285: Awarded: 0 pts
19:51:14.286: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.287: Awarded: 0 pts
19:51:14.288: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.289: Awarded: 0 pts
19:51:14.292: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.296: Awarded: 0 pts
19:51:14.297: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.307: Awarded: 0 pts
19:51:14.419: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.421: Awarded: 0 pts
19:51:14.421: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.423: Awarded: 0 pts
19:51:14.424: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.427: Awarded: 0 pts
19:51:14.428: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.431: Awarded: 0 pts
19:51:14.432: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.433: Awarded: 0 pts
19:51:14.440: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.442: Awarded: 0 pts
19:51:14.483: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.484: Awarded: 0 pts
19:51:14.485: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.486: Awarded: 0 pts
19:51:14.487: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.488: Awarded: 0 pts
19:51:14.491: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.492: Awarded: 0 pts
19:51:14.495: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.499: Awarded: 0 pts
19:51:14.500: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.502: Awarded: 0 pts
19:51:14.571: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.572: Awarded: 0 pts
19:51:14.573: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.573: Awarded: 0 pts
19:51:14.574: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.575: Awarded: 0 pts
19:51:14.577: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.578: Awarded: 0 pts
19:51:14.579: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.580: Awarded: 0 pts
19:51:14.581: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.582: Awarded: 0 pts
19:51:14.708: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.710: Awarded: 0 pts
19:51:14.711: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.712: Awarded: 0 pts
19:51:14.713: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.714: Awarded: 0 pts
19:51:14.715: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.717: Awarded: 0 pts
19:51:14.719: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.721: Awarded: 0 pts
19:51:14.722: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.726: Awarded: 0 pts
19:51:14.868: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.870: Awarded: 0 pts
19:51:14.870: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.871: Awarded: 0 pts
19:51:14.873: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.873: Awarded: 0 pts
19:51:14.874: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.879: Awarded: 0 pts
19:51:14.880: Message received: teamAwesome,p@55w04d,5,AA00
19:51:14.881: Awarded: 0 pts
19:51:14.883: Message received: teamAwesome,p@55w04d,6,AA00
19:51:14.886: Awarded: 0 pts
19:51:14.982: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:14.983: Awarded: 0 pts
19:51:14.984: Message received: teamAwesome,p@55w04d,2,KH78
19:51:14.985: Awarded: 0 pts
19:51:14.986: Message received: teamAwesome,p@55w04d,3,KS79
19:51:14.989: Awarded: 0 pts
19:51:14.991: Message received: teamAwesome,p@55w04d,4,HH87
19:51:14.992: Awarded: 0 pts
19:51:14.994: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.000: Awarded: 0 pts
19:51:15.009: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.011: Awarded: 0 pts
19:51:15.077: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.078: Awarded: 0 pts
19:51:15.079: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.082: Awarded: 0 pts
19:51:15.084: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.086: Awarded: 0 pts
19:51:15.089: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.091: Awarded: 0 pts
19:51:15.092: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.094: Awarded: 0 pts
19:51:15.097: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.099: Awarded: 0 pts
19:51:15.196: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.197: Awarded: 0 pts
19:51:15.198: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.199: Awarded: 0 pts
19:51:15.200: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.200: Awarded: 0 pts
19:51:15.203: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.206: Awarded: 0 pts
19:51:15.207: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.207: Awarded: 0 pts
19:51:15.208: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.209: Awarded: 0 pts
19:51:15.350: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.351: Awarded: 0 pts
19:51:15.353: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.354: Awarded: 0 pts
19:51:15.355: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.356: Awarded: 0 pts
19:51:15.357: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.358: Awarded: 0 pts
19:51:15.360: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.362: Awarded: 0 pts
19:51:15.363: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.367: Awarded: 0 pts
19:51:15.498: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.499: Awarded: 0 pts
19:51:15.502: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.505: Awarded: 0 pts
19:51:15.507: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.509: Awarded: 0 pts
19:51:15.510: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.512: Awarded: 0 pts
19:51:15.513: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.514: Awarded: 0 pts
19:51:15.514: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.515: Awarded: 0 pts
19:51:15.599: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.601: Awarded: 0 pts
19:51:15.602: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.602: Awarded: 0 pts
19:51:15.604: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.605: Awarded: 0 pts
19:51:15.606: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.607: Awarded: 0 pts
19:51:15.610: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.611: Awarded: 0 pts
19:51:15.612: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.616: Awarded: 0 pts
19:51:15.729: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.730: Awarded: 0 pts
19:51:15.735: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.737: Awarded: 0 pts
19:51:15.738: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.739: Awarded: 0 pts
19:51:15.741: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.743: Awarded: 0 pts
19:51:15.744: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.745: Awarded: 0 pts
19:51:15.748: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.749: Awarded: 0 pts
19:51:15.865: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:15.867: Awarded: 0 pts
19:51:15.868: Message received: teamAwesome,p@55w04d,2,KH78
19:51:15.869: Awarded: 0 pts
19:51:15.870: Message received: teamAwesome,p@55w04d,3,KS79
19:51:15.872: Awarded: 0 pts
19:51:15.873: Message received: teamAwesome,p@55w04d,4,HH87
19:51:15.875: Awarded: 0 pts
19:51:15.877: Message received: teamAwesome,p@55w04d,5,AA00
19:51:15.884: Awarded: 0 pts
19:51:15.886: Message received: teamAwesome,p@55w04d,6,AA00
19:51:15.888: Awarded: 0 pts
19:51:16.001: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.003: Awarded: 0 pts
19:51:16.008: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.009: Awarded: 0 pts
19:51:16.011: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.013: Awarded: 0 pts
19:51:16.014: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.016: Awarded: 0 pts
19:51:16.017: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.019: Awarded: 0 pts
19:51:16.023: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.025: Awarded: 0 pts
19:51:16.176: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.177: Awarded: 0 pts
19:51:16.178: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.179: Awarded: 0 pts
19:51:16.180: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.182: Awarded: 0 pts
19:51:16.183: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.184: Awarded: 0 pts
19:51:16.185: Message received: teamAwesome,p@55w04d,5,AA00
