19:44:58.249: Position 1: MA38
19:46:47.875: Message received: teamAwesome,p@55w04d,3,QG39
19:46:47.877: Awarded: 0 pts
19:46:47.882: Message received: teamAwesome,p@55w04d,4,AA00
19:46:47.883: Awarded: 0 pts
19:46:47.886: Message received: teamAwesome,p@55w04d,5,AA00
19:46:47.887: Awarded: 0 pts
19:46:47.892: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:47.893: Awarded: 0 pts
19:46:47.988: Message received: teamAwesome,p@55w04d,1,AA00
19:46:47.991: Awarded: 0 pts
19:46:47.992: Message received: teamAwesome,p@55w04d,2,AA00
19:46:47.994: Awarded: 0 pts
19:46:48.002: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.004: Awarded: 0 pts
19:46:48.005: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.007: Awarded: 0 pts
19:46:48.009: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.011: Awarded: 0 pts
19:46:48.013: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.018: Awarded: 0 pts
19:46:48.161: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.163: Awarded: 0 pts
19:46:48.166: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.167: Awarded: 0 pts
19:46:48.168: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.171: Awarded: 0 pts
19:46:48.176: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.179: Awarded: 0 pts
19:46:48.182: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.186: Awarded: 0 pts
19:46:48.191: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.193: Awarded: 0 pts
19:46:48.316: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.318: Awarded: 0 pts
19:46:48.319: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.321: Awarded: 0 pts
19:46:48.322: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.322: Awarded: 0 pts
19:46:48.324: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.326: Awarded: 0 pts
19:46:48.329: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.330: Awarded: 0 pts
19:46:48.332: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.335: Awarded: 0 pts
19:46:48.418: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.420: Awarded: 0 pts
19:46:48.421: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.422: Awarded: 0 pts
19:46:48.424: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.428: Awarded: 0 pts
19:46:48.431: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.431: Awarded: 0 pts
19:46:48.432: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.433: Awarded: 0 pts
19:46:48.434: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.435: Awarded: 0 pts
19:46:48.568: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.570: Awarded: 0 pts
19:46:48.571: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.572: Awarded: 0 pts
19:46:48.573: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.574: Awarded: 0 pts
19:46:48.574: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.575: Awarded: 0 pts
19:46:48.576: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.577: Awarded: 0 pts
19:46:48.578: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.579: Awarded: 0 pts
19:46:48.721: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.722: Awarded: 0 pts
19:46:48.728: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.730: Awarded: 0 pts
19:46:48.736: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.738: Awarded: 0 pts
19:46:48.740: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.744: Awarded: 0 pts
19:46:48.749: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.751: Awarded: 0 pts
19:46:48.759: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.761: Awarded: 0 pts
19:46:48.811: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.812: Awarded: 0 pts
19:46:48.815: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.817: Awarded: 0 pts
19:46:48.818: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.820: Awarded: 0 pts
19:46:48.825: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.829: Awarded: 0 pts
19:46:48.830: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.831: Awarded: 0 pts
19:46:48.832: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:48.833: Awarded: 0 pts
19:46:48.977: Message received: teamAwesome,p@55w04d,1,AA00
19:46:48.979: Awarded: 0 pts
19:46:48.980: Message received: teamAwesome,p@55w04d,2,AA00
19:46:48.981: Awarded: 0 pts
19:46:48.983: Message received: teamAwesome,p@55w04d,3,QG39
19:46:48.985: Awarded: 0 pts
19:46:48.986: Message received: teamAwesome,p@55w04d,4,AA00
19:46:48.989: Awarded: 0 pts
19:46:48.992: Message received: teamAwesome,p@55w04d,5,AA00
19:46:48.995: Awarded: 0 pts
19:46:48.998: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:49.001: Awarded: 0 pts
19:46:49.180: Message received: teamAwesome,p@55w04d,1,AA00
19:46:49.182: Awarded: 0 pts
19:46:49.183: Message received: teamAwesome,p@55w04d,2,AA00
19:46:49.184: Awarded: 0 pts
19:46:49.186: Message received: teamAwesome,p@55w04d,3,QG39
19:46:49.188: Awarded: 0 pts
19:46:49.189: Message received: teamAwesome,p@55w04d,4,AA00
19:46:49.192: Awarded: 0 pts
19:46:49.194: Message received: teamAwesome,p@55w04d,5,AA00
19:46:49.196: Awarded: 0 pts
19:46:49.197: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:49.199: Awarded: 0 pts
19:46:49.386: Message received: teamAwesome,p@55w04d,1,AA00
19:46:49.388: Awarded: 0 pts
19:46:49.389: Message received: teamAwesome,p@55w04d,2,AA00
19:46:49.390: Awarded: 0 pts
19:46:49.391: Message received: teamAwesome,p@55w04d,3,QG39
19:46:49.392: Awarded: 0 pts
19:46:49.395: Message received: teamAwesome,p@55w04d,4,AA00
19:46:49.396: Awarded: 0 pts
19:46:49.398: Message received: teamAwesome,p@55w04d,5,AA00
19:46:49.400: Awarded: 0 pts
19:46:49.403: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:49.406: Awarded: 0 pts
19:46:49.550: Message received: teamAwesome,p@55w04d,1,AA00
19:46:49.552: Awarded: 0 pts
19:46:49.553: Message received: teamAwesome,p@55w04d,2,AA00
19:46:49.554: Awarded: 0 pts
19:46:49.555: Message received: teamAwesome,p@55w04d,3,QG39
19:46:49.556: Awarded: 0 pts
19:46:49.557: Message received: teamAwesome,p@55w04d,4,AA00
19:46:49.558: Awarded: 0 pts
19:46:49.559: Message received: teamAwesome,p@55w04d,5,AA00
19:46:49.560: Awarded: 0 pts
19:46:49.561: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:49.563: Awarded: 0 pts
19:46:49.688: Message received: teamAwesome,p@55w04d,1,AA00
19:46:49.689: Awarded: 0 pts
19:46:49.691: Message received: teamAwesome,p@55w04d,2,AA00
19:46:49.692: Awarded: 0 pts
19:46:49.698: Message received: teamAwesome,p@55w04d,3,QG39
19:46:49.699: Awarded: 0 pts
19:46:49.700: Message received: teamAwesome,p@55w04d,4,AA00
19:46:49.702: Awarded: 0 pts
19:46:49.704: Message received: teamAwesome,p@55w04d,5,AA00
19:46:49.707: Awarded: 0 pts
19:46:49.711: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:49.713: Awarded: 0 pts
19:46:49.807: Message received: teamAwesome,p@55w04d,1,AA00
19:46:49.809: Awarded: 0 pts
19:46:49.810: Message received: teamAwesome,p@55w04d,2,AA00
19:46:49.815: Awarded: 0 pts
19:46:49.816: Message received: teamAwesome,p@55w04d,3,QG39
19:46:49.821: Awarded: 0 pts
19:46:49.822: Message received: teamAwesome,p@55w04d,4,AA00
19:46:49.823: Awarded: 0 pts
19:46:49.831: Message received: teamAwesome,p@55w04d,5,AA00
19:46:49.832: Awarded: 0 pts
19:46:49.838: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:49.840: Awarded: 0 pts
19:46:50.038: Message received: teamAwesome,p@55w04d,1,AA00
19:46:50.040: Awarded: 0 pts
19:46:50.041: Message received: teamAwesome,p@55w04d,2,AA00
19:46:50.041: Awarded: 0 pts
19:46:50.042: Message received: teamAwesome,p@55w04d,3,QG39
19:46:50.044: Awarded: 0 pts
19:46:50.045: Message received: teamAwesome,p@55w04d,4,AA00
19:46:50.046: Awarded: 0 pts
19:46:50.047: Message received: teamAwesome,p@55w04d,5,AA00
19:46:50.048: Awarded: 0 pts
19:46:50.048: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:50.055: Awarded: 0 pts
19:46:50.224: Message received: teamAwesome,p@55w04d,1,AA00
19:46:50.226: Awarded: 0 pts
19:46:50.227: Message received: teamAwesome,p@55w04d,2,AA00
19:46:50.228: Awarded: 0 pts
19:46:50.229: Message received: teamAwesome,p@55w04d,3,QG39
19:46:50.230: Awarded: 0 pts
19:46:50.240: Message received: teamAwesome,p@55w04d,4,AA00
19:46:50.244: Awarded: 0 pts
19:46:50.245: Message received: teamAwesome,p@55w04d,5,AA00
19:46:50.247: Awarded: 0 pts
19:46:50.248: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:50.251: Awarded: 0 pts
19:46:50.394: Message received: teamAwesome,p@55w04d,1,AA00
19:46:50.398: Awarded: 0 pts
19:46:50.399: Message received: teamAwesome,p@55w04d,2,AA00
19:46:50.400: Awarded: 0 pts
19:46:50.403: Message received: teamAwesome,p@55w04d,3,QG39
19:46:50.404: Awarded: 0 pts
19:46:50.409: Message received: teamAwesome,p@55w04d,4,AA00
19:46:50.411: Awarded: 0 pts
19:46:50.413: Message received: teamAwesome,p@55w04d,5,AA00
19:46:50.417: Awarded: 0 pts
19:46:50.419: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:50.420: Awarded: 0 pts
19:46:50.630: Message received: teamAwesome,p@55w04d,1,AA00
19:46:50.632: Awarded: 0 pts
19:46:50.634: Message received: teamAwesome,p@55w04d,2,AA00
19:46:50.635: Awarded: 0 pts
19:46:50.636: Message received: teamAwesome,p@55w04d,3,QG39
19:46:50.638: Awarded: 0 pts
19:46:50.639: Message received: teamAwesome,p@55w04d,4,AA00
19:46:50.642: Awarded: 0 pts
19:46:50.644: Message received: teamAwesome,p@55w04d,5,AA00
19:46:50.648: Awarded: 0 pts
19:46:50.649: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:50.650: Awarded: 0 pts
19:46:50.769: Message received: teamAwesome,p@55w04d,1,AA00
19:46:50.772: Awarded: 0 pts
19:46:50.773: Message received: teamAwesome,p@55w04d,2,AA00
19:46:50.776: Awarded: 0 pts
19:46:50.778: Message received: teamAwesome,p@55w04d,3,QG39
19:46:50.779: Awarded: 0 pts
19:46:50.780: Message received: teamAwesome,p@55w04d,4,AA00
19:46:50.790: Awarded: 0 pts
19:46:50.804: Message received: teamAwesome,p@55w04d,5,AA00
19:46:50.813: Awarded: 0 pts
19:46:50.817: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:50.822: Awarded: 0 pts
19:46:50.884: Message received: teamAwesome,p@55w04d,1,AA00
19:46:50.888: Awarded: 0 pts
19:46:50.889: Message received: teamAwesome,p@55w04d,2,AA00
19:46:50.890: Awarded: 0 pts
19:46:50.895: Message received: teamAwesome,p@55w04d,3,QG39
19:46:50.896: Awarded: 0 pts
19:46:50.897: Message received: teamAwesome,p@55w04d,4,AA00
19:46:50.905: Awarded: 0 pts
19:46:50.907: Message received: teamAwesome,p@55w04d,5,AA00
19:46:50.911: Awarded: 0 pts
19:46:50.915: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:50.919: Awarded: 0 pts
19:46:51.013: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.015: Awarded: 0 pts
19:46:51.023: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.026: Awarded: 0 pts
19:46:51.028: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.030: Awarded: 0 pts
19:46:51.031: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.033: Awarded: 0 pts
19:46:51.034: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.038: Awarded: 0 pts
19:46:51.041: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.044: Awarded: 0 pts
19:46:51.156: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.157: Awarded: 0 pts
19:46:51.162: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.164: Awarded: 0 pts
19:46:51.165: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.166: Awarded: 0 pts
19:46:51.169: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.172: Awarded: 0 pts
19:46:51.173: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.175: Awarded: 0 pts
19:46:51.178: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.190: Awarded: 0 pts
19:46:51.351: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.353: Awarded: 0 pts
19:46:51.358: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.360: Awarded: 0 pts
19:46:51.363: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.365: Awarded: 0 pts
19:46:51.366: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.367: Awarded: 0 pts
19:46:51.371: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.376: Awarded: 0 pts
19:46:51.377: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.377: Awarded: 0 pts
19:46:51.500: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.505: Awarded: 0 pts
19:46:51.506: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.509: Awarded: 0 pts
19:46:51.512: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.515: Awarded: 0 pts
19:46:51.516: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.518: Awarded: 0 pts
19:46:51.520: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.521: Awarded: 0 pts
19:46:51.524: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.527: Awarded: 0 pts
19:46:51.607: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.609: Awarded: 0 pts
19:46:51.610: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.611: Awarded: 0 pts
19:46:51.613: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.614: Awarded: 0 pts
19:46:51.615: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.618: Awarded: 0 pts
19:46:51.623: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.624: Awarded: 0 pts
19:46:51.625: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.626: Awarded: 0 pts
19:46:51.777: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.790: Awarded: 0 pts
19:46:51.791: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.793: Awarded: 0 pts
19:46:51.794: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.797: Awarded: 0 pts
19:46:51.799: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.800: Awarded: 0 pts
19:46:51.802: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.803: Awarded: 0 pts
19:46:51.805: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.814: Awarded: 0 pts
19:46:51.930: Message received: teamAwesome,p@55w04d,1,AA00
19:46:51.967: Awarded: 0 pts
19:46:51.968: Message received: teamAwesome,p@55w04d,2,AA00
19:46:51.969: Awarded: 0 pts
19:46:51.970: Message received: teamAwesome,p@55w04d,3,QG39
19:46:51.973: Awarded: 0 pts
19:46:51.974: Message received: teamAwesome,p@55w04d,4,AA00
19:46:51.977: Awarded: 0 pts
19:46:51.979: Message received: teamAwesome,p@55w04d,5,AA00
19:46:51.981: Awarded: 0 pts
19:46:51.985: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:51.986: Awarded: 0 pts
19:46:52.069: Message received: teamAwesome,p@55w04d,1,AA00
19:46:52.074: Awarded: 0 pts
19:46:52.076: Message received: teamAwesome,p@55w04d,2,AA00
19:46:52.077: Awarded: 0 pts
19:46:52.079: Message received: teamAwesome,p@55w04d,3,QG39
19:46:52.081: Awarded: 0 pts
19:46:52.088: Message received: teamAwesome,p@55w04d,4,AA00
19:46:52.092: Awarded: 0 pts
19:46:52.094: Message received: teamAwesome,p@55w04d,5,AA00
19:46:52.099: Awarded: 0 pts
19:46:52.109: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:52.114: Awarded: 0 pts
19:46:52.312: Message received: teamAwesome,p@55w04d,1,AA00
19:46:52.314: Awarded: 0 pts
19:46:52.315: Message received: teamAwesome,p@55w04d,2,AA00
19:46:52.318: Awarded: 0 pts
19:46:52.320: Message received: teamAwesome,p@55w04d,3,QG39
19:46:52.321: Awarded: 0 pts
19:46:52.322: Message received: teamAwesome,p@55w04d,4,AA00
19:46:52.323: Awarded: 0 pts
19:46:52.328: Message received: teamAwesome,p@55w04d,5,AA00
19:46:52.329: Awarded: 0 pts
19:46:52.331: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:52.334: Awarded: 0 pts
19:46:52.492: Message received: teamAwesome,p@55w04d,1,AA00
19:46:52.495: Awarded: 0 pts
19:46:52.497: Message received: teamAwesome,p@55w04d,2,AA00
19:46:52.498: Awarded: 0 pts
19:46:52.500: Message received: teamAwesome,p@55w04d,3,QG39
19:46:52.502: Awarded: 0 pts
19:46:52.504: Message received: teamAwesome,p@55w04d,4,AA00
19:46:52.507: Awarded: 0 pts
19:46:52.509: Message received: teamAwesome,p@55w04d,5,AA00
19:46:52.515: Awarded: 0 pts
19:46:52.519: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:52.523: Awarded: 0 pts
19:46:52.587: Message received: teamAwesome,p@55w04d,1,AA00
19:46:52.589: Awarded: 0 pts
19:46:52.591: Message received: teamAwesome,p@55w04d,2,AA00
19:46:52.593: Awarded: 0 pts
19:46:52.595: Message received: teamAwesome,p@55w04d,3,QG39
19:46:52.598: Awarded: 0 pts
19:46:52.603: Message received: teamAwesome,p@55w04d,4,AA00
19:46:52.605: Awarded: 0 pts
19:46:52.611: Message received: teamAwesome,p@55w04d,5,AA00
19:46:52.614: Awarded: 0 pts
19:46:52.618: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:52.621: Awarded: 0 pts
19:46:52.849: Message received: teamAwesome,p@55w04d,1,AA00
19:46:52.850: Awarded: 0 pts
19:46:52.852: Message received: teamAwesome,p@55w04d,2,AA00
19:46:52.852: Awarded: 0 pts
19:46:52.853: Message received: teamAwesome,p@55w04d,3,QG39
19:46:52.854: Awarded: 0 pts
19:46:52.855: Message received: teamAwesome,p@55w04d,4,AA00
19:46:52.857: Awarded: 0 pts
19:46:52.860: Message received: teamAwesome,p@55w04d,5,AA00
19:46:52.863: Awarded: 0 pts
19:46:52.864: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:52.868: Awarded: 0 pts
19:46:52.961: Message received: teamAwesome,p@55w04d,1,AA00
19:46:52.965: Awarded: 0 pts
19:46:52.966: Message received: teamAwesome,p@55w04d,2,AA00
19:46:52.967: Awarded: 0 pts
19:46:52.972: Message received: teamAwesome,p@55w04d,3,QG39
19:46:52.975: Awarded: 0 pts
19:46:52.977: Message received: teamAwesome,p@55w04d,4,AA00
19:46:52.983: Awarded: 0 pts
19:46:52.989: Message received: teamAwesome,p@55w04d,5,AA00
19:46:52.995: Awarded: 0 pts
19:46:52.999: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.001: Awarded: 0 pts
19:46:53.079: Message received: teamAwesome,p@55w04d,1,AA00
19:46:53.081: Awarded: 0 pts
19:46:53.087: Message received: teamAwesome,p@55w04d,2,AA00
19:46:53.088: Awarded: 0 pts
19:46:53.092: Message received: teamAwesome,p@55w04d,3,QG39
19:46:53.094: Awarded: 0 pts
19:46:53.095: Message received: teamAwesome,p@55w04d,4,AA00
19:46:53.096: Awarded: 0 pts
19:46:53.099: Message received: teamAwesome,p@55w04d,5,AA00
19:46:53.100: Awarded: 0 pts
19:46:53.102: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.104: Awarded: 0 pts
19:46:53.286: Message received: teamAwesome,p@55w04d,1,AA00
19:46:53.287: Awarded: 0 pts
19:46:53.289: Message received: teamAwesome,p@55w04d,2,AA00
19:46:53.290: Awarded: 0 pts
19:46:53.291: Message received: teamAwesome,p@55w04d,3,QG39
19:46:53.292: Awarded: 0 pts
19:46:53.293: Message received: teamAwesome,p@55w04d,4,AA00
19:46:53.299: Awarded: 0 pts
19:46:53.302: Message received: teamAwesome,p@55w04d,5,AA00
19:46:53.304: Awarded: 0 pts
19:46:53.310: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.311: Awarded: 0 pts
19:46:53.451: Message received: teamAwesome,p@55w04d,1,AA00
19:46:53.453: Awarded: 0 pts
19:46:53.455: Message received: teamAwesome,p@55w04d,2,AA00
19:46:53.456: Awarded: 0 pts
19:46:53.457: Message received: teamAwesome,p@55w04d,3,QG39
19:46:53.458: Awarded: 0 pts
19:46:53.459: Message received: teamAwesome,p@55w04d,4,AA00
19:46:53.463: Awarded: 0 pts
19:46:53.467: Message received: teamAwesome,p@55w04d,5,AA00
19:46:53.470: Awarded: 0 pts
19:46:53.474: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.479: Awarded: 0 pts
19:46:53.641: Message received: teamAwesome,p@55w04d,1,AA00
19:46:53.642: Awarded: 0 pts
19:46:53.644: Message received: teamAwesome,p@55w04d,2,AA00
19:46:53.645: Awarded: 0 pts
19:46:53.650: Message received: teamAwesome,p@55w04d,3,QG39
19:46:53.652: Awarded: 0 pts
19:46:53.659: Message received: teamAwesome,p@55w04d,4,AA00
19:46:53.665: Awarded: 0 pts
19:46:53.668: Message received: teamAwesome,p@55w04d,5,AA00
19:46:53.673: Awarded: 0 pts
19:46:53.675: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.680: Awarded: 0 pts
19:46:53.721: Message received: teamAwesome,p@55w04d,1,AA00
19:46:53.723: Awarded: 0 pts
19:46:53.724: Message received: teamAwesome,p@55w04d,2,AA00
19:46:53.725: Awarded: 0 pts
19:46:53.730: Message received: teamAwesome,p@55w04d,3,QG39
19:46:53.732: Awarded: 0 pts
19:46:53.735: Message received: teamAwesome,p@55w04d,4,AA00
19:46:53.738: Awarded: 0 pts
19:46:53.740: Message received: teamAwesome,p@55w04d,5,AA00
19:46:53.743: Awarded: 0 pts
19:46:53.748: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.751: Awarded: 0 pts
19:46:53.907: Message received: teamAwesome,p@55w04d,1,AA00
19:46:53.908: Awarded: 0 pts
19:46:53.910: Message received: teamAwesome,p@55w04d,2,AA00
19:46:53.911: Awarded: 0 pts
19:46:53.913: Message received: teamAwesome,p@55w04d,3,QG39
19:46:53.914: Awarded: 0 pts
19:46:53.918: Message received: teamAwesome,p@55w04d,4,AA00
19:46:53.919: Awarded: 0 pts
19:46:53.921: Message received: teamAwesome,p@55w04d,5,AA00
19:46:53.922: Awarded: 0 pts
19:46:53.925: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:53.929: Awarded: 0 pts
19:46:54.053: Message received: teamAwesome,p@55w04d,1,AA00
19:46:54.055: Awarded: 0 pts
19:46:54.056: Message received: teamAwesome,p@55w04d,2,AA00
19:46:54.062: Awarded: 0 pts
19:46:54.068: Message received: teamAwesome,p@55w04d,3,QG39
19:46:54.075: Awarded: 0 pts
19:46:54.078: Message received: teamAwesome,p@55w04d,4,AA00
19:46:54.082: Awarded: 0 pts
19:46:54.087: Message received: teamAwesome,p@55w04d,5,AA00
19:46:54.093: Awarded: 0 pts
