19:38:38.277: Position 1: JG88
19:40:30.338: Message received: teamAwesome,p@55w04d,3,NA17
19:40:30.339: Awarded: 6 pts
19:40:30.340: Message received: teamAwesome,p@55w04d,4,AA00
19:40:30.344: Awarded: 0 pts
19:40:30.347: Message received: teamAwesome,p@55w04d,5,AA00
19:40:30.351: Awarded: 0 pts
19:40:30.352: Message received: teamAwesome,p@55w04d,6,AA00
19:40:30.352: Awarded: 0 pts
19:40:30.777: Message received: teamAwesome,p@55w04d,1,OL77
19:40:30.779: Awarded: 0 pts
19:40:30.780: Message received: teamAwesome,p@55w04d,2,HH77
19:40:30.781: Awarded: 0 pts
19:40:30.782: Message received: teamAwesome,p@55w04d,3,NA17
19:40:30.783: Awarded: 6 pts
19:40:30.784: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:30.785: Awarded: 0 pts
19:40:30.786: Message received: teamAwesome,p@55w04d,5,AA00
19:40:30.787: Awarded: 0 pts
19:40:30.789: Message received: teamAwesome,p@55w04d,6,AA00
19:40:30.792: Awarded: 0 pts
19:40:31.292: Message received: teamAwesome,p@55w04d,1,OL77
19:40:31.293: Awarded: 0 pts
19:40:31.316: Message received: teamAwesome,p@55w04d,2,HH77
19:40:31.317: Awarded: 0 pts
19:40:31.318: Message received: teamAwesome,p@55w04d,3,NA17
19:40:31.319: Awarded: 6 pts
19:40:31.320: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:31.321: Awarded: 0 pts
19:40:31.322: Message received: teamAwesome,p@55w04d,5,AA00
19:40:31.323: Awarded: 0 pts
19:40:31.324: Message received: teamAwesome,p@55w04d,6,AA00
19:40:31.326: Awarded: 0 pts
19:40:31.425: Message received: teamAwesome,p@55w04d,1,OL77
19:40:31.426: Awarded: 0 pts
19:40:31.427: Message received: teamAwesome,p@55w04d,2,HH77
19:40:31.430: Awarded: 0 pts
19:40:31.432: Message received: teamAwesome,p@55w04d,3,NA17
19:40:31.438: Awarded: 6 pts
19:40:31.441: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:31.443: Awarded: 0 pts
19:40:31.446: Message received: teamAwesome,p@55w04d,5,AA00
19:40:31.455: Awarded: 0 pts
19:40:31.460: Message received: teamAwesome,p@55w04d,6,AA00
19:40:31.461: Awarded: 0 pts
19:40:31.534: Message received: teamAwesome,p@55w04d,1,OL77
19:40:31.536: Awarded: 0 pts
19:40:31.550: Message received: teamAwesome,p@55w04d,2,HH77
19:40:31.551: Awarded: 0 pts
19:40:31.559: Message received: teamAwesome,p@55w04d,3,NA17
19:40:31.561: Awarded: 6 pts
19:40:31.564: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:31.567: Awarded: 0 pts
19:40:31.571: Message received: teamAwesome,p@55w04d,5,AA00
19:40:31.573: Awarded: 0 pts
19:40:31.577: Message received: teamAwesome,p@55w04d,6,AA00
19:40:31.580: Awarded: 0 pts
19:40:31.627: Message received: teamAwesome,p@55w04d,1,OL77
19:40:31.628: Awarded: 0 pts
19:40:31.642: Message received: teamAwesome,p@55w04d,2,HH77
19:40:31.644: Awarded: 0 pts
19:40:31.650: Message received: teamAwesome,p@55w04d,3,NA17
19:40:31.653: Awarded: 6 pts
19:40:31.664: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:31.665: Awarded: 0 pts
19:40:31.666: Message received: teamAwesome,p@55w04d,5,AA00
19:40:31.667: Awarded: 0 pts
19:40:31.668: Message received: teamAwesome,p@55w04d,6,AA00
19:40:31.670: Awarded: 0 pts
19:40:31.704: Message received: teamAwesome,p@55w04d,1,OL77
19:40:31.706: Awarded: 0 pts
19:40:31.710: Message received: teamAwesome,p@55w04d,2,HH77
19:40:31.712: Awarded: 0 pts
19:40:31.722: Message received: teamAwesome,p@55w04d,3,NA17
19:40:31.724: Awarded: 6 pts
19:40:31.727: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:31.730: Awarded: 0 pts
19:40:31.731: Message received: teamAwesome,p@55w04d,5,AA00
19:40:31.734: Awarded: 0 pts
19:40:31.735: Message received: teamAwesome,p@55w04d,6,AA00
19:40:31.737: Awarded: 0 pts
19:40:31.823: Message received: teamAwesome,p@55w04d,1,OL77
19:40:31.825: Awarded: 0 pts
19:40:31.830: Message received: teamAwesome,p@55w04d,2,HH77
19:40:31.841: Awarded: 0 pts
19:40:31.845: Message received: teamAwesome,p@55w04d,3,NA17
19:40:31.848: Awarded: 6 pts
19:40:31.851: Message received: teamAwesome,p@55w04d,4,WMJJ
19:40:31.853: Awarded: 0 pts
19:40:31.854: Message received: teamAwesome,p@55w04d,5,AA00
19:40:31.857: Awarded: 0 pts
19:40:31.859: Message received: teamAwesome,p@55w04d,6,AA00
19:40:31.861: Awarded: 0 pts
19:40:32.409: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.410: Awarded: 0 pts
19:40:32.412: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.413: Awarded: 0 pts
19:40:32.416: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.419: Awarded: 6 pts
19:40:32.421: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.422: Awarded: 0 pts
19:40:32.423: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.425: Awarded: 0 pts
19:40:32.430: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.435: Awarded: 0 pts
19:40:32.469: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.470: Awarded: 0 pts
19:40:32.472: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.473: Awarded: 0 pts
19:40:32.474: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.474: Awarded: 6 pts
19:40:32.475: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.479: Awarded: 0 pts
19:40:32.481: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.484: Awarded: 0 pts
19:40:32.493: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.495: Awarded: 0 pts
19:40:32.528: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.529: Awarded: 0 pts
19:40:32.530: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.531: Awarded: 0 pts
19:40:32.534: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.535: Awarded: 6 pts
19:40:32.536: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.537: Awarded: 0 pts
19:40:32.538: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.544: Awarded: 0 pts
19:40:32.547: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.549: Awarded: 0 pts
19:40:32.582: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.585: Awarded: 0 pts
19:40:32.586: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.588: Awarded: 0 pts
19:40:32.590: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.591: Awarded: 6 pts
19:40:32.592: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.593: Awarded: 0 pts
19:40:32.594: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.597: Awarded: 0 pts
19:40:32.599: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.603: Awarded: 0 pts
19:40:32.633: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.634: Awarded: 0 pts
19:40:32.635: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.636: Awarded: 0 pts
19:40:32.637: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.641: Awarded: 6 pts
19:40:32.642: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.644: Awarded: 0 pts
19:40:32.645: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.647: Awarded: 0 pts
19:40:32.649: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.650: Awarded: 0 pts
19:40:32.684: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.685: Awarded: 0 pts
19:40:32.687: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.688: Awarded: 0 pts
19:40:32.689: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.690: Awarded: 6 pts
19:40:32.691: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.693: Awarded: 0 pts
19:40:32.696: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.697: Awarded: 0 pts
19:40:32.698: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.700: Awarded: 0 pts
19:40:32.756: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.757: Awarded: 0 pts
19:40:32.763: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.764: Awarded: 0 pts
19:40:32.765: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.767: Awarded: 6 pts
19:40:32.769: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.774: Awarded: 0 pts
19:40:32.777: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.779: Awarded: 0 pts
19:40:32.783: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.785: Awarded: 0 pts
19:40:32.811: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.820: Awarded: 0 pts
19:40:32.832: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.836: Awarded: 0 pts
19:40:32.838: Message received: teamAwesome,p@55w04d,3,NA17
19:40:32.838: Awarded: 6 pts
19:40:32.839: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:32.841: Awarded: 0 pts
19:40:32.843: Message received: teamAwesome,p@55w04d,5,AA00
19:40:32.852: Awarded: 0 pts
19:40:32.855: Message received: teamAwesome,p@55w04d,6,AA00
19:40:32.859: Awarded: 0 pts
19:40:32.993: Message received: teamAwesome,p@55w04d,1,OL77
19:40:32.997: Awarded: 0 pts
19:40:32.998: Message received: teamAwesome,p@55w04d,2,HH77
19:40:32.999: Awarded: 0 pts
19:40:33.000: Message received: teamAwesome,p@55w04d,3,NA17
19:40:33.004: Awarded: 6 pts
19:40:33.008: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:33.010: Awarded: 0 pts
19:40:33.018: Message received: teamAwesome,p@55w04d,5,AA00
19:40:33.021: Awarded: 0 pts
19:40:33.028: Message received: teamAwesome,p@55w04d,6,AA00
19:40:33.031: Awarded: 0 pts
19:40:33.553: Message received: teamAwesome,p@55w04d,1,OL77
19:40:33.557: Awarded: 0 pts
19:40:33.558: Message received: teamAwesome,p@55w04d,2,HH77
19:40:33.560: Awarded: 0 pts
19:40:33.561: Message received: teamAwesome,p@55w04d,3,NA17
19:40:33.564: Awarded: 6 pts
19:40:33.566: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:33.568: Awarded: 0 pts
19:40:33.569: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:33.571: Awarded: 0 pts
19:40:33.579: Message received: teamAwesome,p@55w04d,6,AA00
19:40:33.581: Awarded: 0 pts
19:40:34.206: Message received: teamAwesome,p@55w04d,1,OL77
19:40:34.209: Awarded: 0 pts
19:40:34.213: Message received: teamAwesome,p@55w04d,2,HH77
19:40:34.214: Awarded: 0 pts
19:40:34.215: Message received: teamAwesome,p@55w04d,3,NA17
19:40:34.217: Awarded: 6 pts
19:40:34.218: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:34.221: Awarded: 0 pts
19:40:34.223: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:34.224: Awarded: 0 pts
19:40:34.226: Message received: teamAwesome,p@55w04d,6,AA00
19:40:34.228: Awarded: 0 pts
19:40:34.774: Message received: teamAwesome,p@55w04d,1,OL77
19:40:34.776: Awarded: 0 pts
19:40:34.778: Message received: teamAwesome,p@55w04d,2,HH77
19:40:34.780: Awarded: 0 pts
19:40:34.781: Message received: teamAwesome,p@55w04d,3,NA17
19:40:34.782: Awarded: 6 pts
19:40:34.784: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:34.786: Awarded: 0 pts
19:40:34.793: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:34.796: Awarded: 0 pts
19:40:34.798: Message received: teamAwesome,p@55w04d,6,AA00
19:40:34.801: Awarded: 0 pts
19:40:35.274: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.277: Awarded: 0 pts
19:40:35.281: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.283: Awarded: 0 pts
19:40:35.284: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.286: Awarded: 6 pts
19:40:35.287: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.288: Awarded: 0 pts
19:40:35.290: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.294: Awarded: 0 pts
19:40:35.300: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.304: Awarded: 0 pts
19:40:35.330: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.331: Awarded: 0 pts
19:40:35.333: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.334: Awarded: 0 pts
19:40:35.335: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.338: Awarded: 6 pts
19:40:35.342: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.343: Awarded: 0 pts
19:40:35.345: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.346: Awarded: 0 pts
19:40:35.347: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.347: Awarded: 0 pts
19:40:35.406: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.408: Awarded: 0 pts
19:40:35.409: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.411: Awarded: 0 pts
19:40:35.412: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.413: Awarded: 6 pts
19:40:35.414: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.417: Awarded: 0 pts
19:40:35.418: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.419: Awarded: 0 pts
19:40:35.420: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.425: Awarded: 0 pts
19:40:35.474: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.475: Awarded: 0 pts
19:40:35.476: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.478: Awarded: 0 pts
19:40:35.480: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.482: Awarded: 6 pts
19:40:35.483: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.484: Awarded: 0 pts
19:40:35.495: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.497: Awarded: 0 pts
19:40:35.504: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.507: Awarded: 0 pts
19:40:35.537: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.538: Awarded: 0 pts
19:40:35.539: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.541: Awarded: 0 pts
19:40:35.542: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.543: Awarded: 6 pts
19:40:35.551: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.554: Awarded: 0 pts
19:40:35.556: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.559: Awarded: 0 pts
19:40:35.562: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.569: Awarded: 0 pts
19:40:35.598: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.600: Awarded: 0 pts
19:40:35.601: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.603: Awarded: 0 pts
19:40:35.604: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.606: Awarded: 6 pts
19:40:35.608: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.611: Awarded: 0 pts
19:40:35.613: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.619: Awarded: 0 pts
19:40:35.621: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.623: Awarded: 0 pts
19:40:35.676: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.679: Awarded: 0 pts
19:40:35.681: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.683: Awarded: 0 pts
19:40:35.685: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.687: Awarded: 6 pts
19:40:35.692: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.696: Awarded: 0 pts
19:40:35.701: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.706: Awarded: 0 pts
19:40:35.710: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.714: Awarded: 0 pts
19:40:35.736: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.738: Awarded: 0 pts
19:40:35.746: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.750: Awarded: 0 pts
19:40:35.752: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.756: Awarded: 6 pts
19:40:35.760: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.766: Awarded: 0 pts
19:40:35.768: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.769: Awarded: 0 pts
19:40:35.772: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.774: Awarded: 0 pts
19:40:35.891: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.893: Awarded: 0 pts
19:40:35.894: Message received: teamAwesome,p@55w04d,2,HH77
19:40:35.898: Awarded: 0 pts
19:40:35.899: Message received: teamAwesome,p@55w04d,3,NA17
19:40:35.901: Awarded: 6 pts
19:40:35.913: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:35.914: Awarded: 0 pts
19:40:35.916: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:35.917: Awarded: 0 pts
19:40:35.919: Message received: teamAwesome,p@55w04d,6,AA00
19:40:35.920: Awarded: 0 pts
19:40:35.996: Message received: teamAwesome,p@55w04d,1,OL77
19:40:35.998: Awarded: 0 pts
19:40:35.999: Message received: teamAwesome,p@55w04d,2,HH77
19:40:36.001: Awarded: 0 pts
19:40:36.005: Message received: teamAwesome,p@55w04d,3,NA17
19:40:36.017: Awarded: 6 pts
19:40:36.019: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:36.022: Awarded: 0 pts
19:40:36.024: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:36.026: Awarded: 0 pts
19:40:36.030: Message received: teamAwesome,p@55w04d,6,AA00
19:40:36.032: Awarded: 0 pts
19:40:36.854: Message received: teamAwesome,p@55w04d,1,OL77
19:40:36.856: Awarded: 0 pts
19:40:36.857: Message received: teamAwesome,p@55w04d,2,HH77
19:40:36.858: Awarded: 0 pts
19:40:36.859: Message received: teamAwesome,p@55w04d,3,NA17
19:40:36.860: Awarded: 6 pts
19:40:36.863: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:36.864: Awarded: 0 pts
19:40:36.866: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:36.868: Awarded: 0 pts
