19:26:30.276: Position 1: BY94
19:28:24.575: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.577: Awarded: 0 pts
19:28:24.629: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.631: Awarded: 0 pts
19:28:24.632: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.633: Awarded: 6 pts
19:28:24.639: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.640: Awarded: 0 pts
19:28:24.641: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.641: Awarded: 0 pts
19:28:24.643: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.645: Awarded: 6 pts
19:28:24.646: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.648: Awarded: 0 pts
19:28:24.702: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.706: Awarded: 0 pts
19:28:24.707: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.708: Awarded: 6 pts
19:28:24.709: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.710: Awarded: 0 pts
19:28:24.711: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.712: Awarded: 0 pts
19:28:24.713: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.714: Awarded: 6 pts
19:28:24.717: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.718: Awarded: 0 pts
19:28:24.816: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.818: Awarded: 0 pts
19:28:24.819: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.820: Awarded: 6 pts
19:28:24.821: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.822: Awarded: 0 pts
19:28:24.823: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.824: Awarded: 0 pts
19:28:24.827: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.834: Awarded: 6 pts
19:28:24.837: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.841: Awarded: 0 pts
19:28:24.904: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:24.906: Awarded: 0 pts
19:28:24.908: Message received: teamAwesome,p@55w04d,2,GC76
19:28:24.909: Awarded: 6 pts
19:28:24.910: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:24.912: Awarded: 0 pts
19:28:24.921: Message received: teamAwesome,p@55w04d,4,5441
19:28:24.923: Awarded: 0 pts
19:28:24.928: Message received: teamAwesome,p@55w04d,5,FI35
19:28:24.932: Awarded: 6 pts
19:28:24.935: Message received: teamAwesome,p@55w04d,6,DN82
19:28:24.938: Awarded: 0 pts
19:28:25.030: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:25.031: Awarded: 0 pts
19:28:25.032: Message received: teamAwesome,p@55w04d,2,GC76
19:28:25.033: Awarded: 6 pts
19:28:25.034: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:25.034: Awarded: 0 pts
19:28:25.035: Message received: teamAwesome,p@55w04d,4,5441
19:28:25.036: Awarded: 0 pts
19:28:25.037: Message received: teamAwesome,p@55w04d,5,FI35
19:28:25.038: Awarded: 6 pts
19:28:25.040: Message received: teamAwesome,p@55w04d,6,DN82
19:28:25.045: Awarded: 0 pts
19:28:25.148: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:25.150: Awarded: 0 pts
19:28:25.151: Message received: teamAwesome,p@55w04d,2,GC76
19:28:25.152: Awarded: 6 pts
19:28:25.153: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:25.154: Awarded: 0 pts
19:28:25.155: Message received: teamAwesome,p@55w04d,4,5441
19:28:25.159: Awarded: 0 pts
19:28:25.162: Message received: teamAwesome,p@55w04d,5,FI35
19:28:25.166: Awarded: 6 pts
19:28:25.173: Message received: teamAwesome,p@55w04d,6,DN82
19:28:25.180: Awarded: 0 pts
19:28:25.275: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:25.276: Awarded: 0 pts
19:28:25.277: Message received: teamAwesome,p@55w04d,2,GC76
19:28:25.278: Awarded: 6 pts
19:28:25.279: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:25.280: Awarded: 0 pts
19:28:25.286: Message received: teamAwesome,p@55w04d,4,5441
19:28:25.290: Awarded: 0 pts
19:28:25.293: Message received: teamAwesome,p@55w04d,5,FI35
19:28:25.295: Awarded: 6 pts
19:28:25.297: Message received: teamAwesome,p@55w04d,6,DN82
19:28:25.303: Awarded: 0 pts
19:28:25.413: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:25.415: Awarded: 0 pts
19:28:25.416: Message received: teamAwesome,p@55w04d,2,GC76
19:28:25.418: Awarded: 6 pts
19:28:25.421: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:25.422: Awarded: 0 pts
19:28:25.424: Message received: teamAwesome,p@55w04d,4,5441
19:28:25.425: Awarded: 0 pts
19:28:25.426: Message received: teamAwesome,p@55w04d,5,FI35
19:28:25.428: Awarded: 6 pts
19:28:25.431: Message received: teamAwesome,p@55w04d,6,DN82
19:28:25.433: Awarded: 0 pts
19:28:25.531: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:25.535: Awarded: 0 pts
19:28:25.536: Message received: teamAwesome,p@55w04d,2,GC76
19:28:25.537: Awarded: 6 pts
19:28:25.538: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:25.539: Awarded: 0 pts
19:28:25.540: Message received: teamAwesome,p@55w04d,4,5441
19:28:25.542: Awarded: 0 pts
19:28:25.547: Message received: teamAwesome,p@55w04d,5,FI35
19:28:25.552: Awarded: 6 pts
19:28:25.553: Message received: teamAwesome,p@55w04d,6,DN82
19:28:25.554: Awarded: 0 pts
19:28:25.650: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:25.651: Awarded: 0 pts
19:28:25.653: Message received: teamAwesome,p@55w04d,2,GC76
19:28:25.654: Awarded: 6 pts
19:28:25.655: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:25.657: Awarded: 0 pts
19:28:25.658: Message received: teamAwesome,p@55w04d,4,5441
19:28:25.659: Awarded: 0 pts
19:28:25.660: Message received: teamAwesome,p@55w04d,5,FI35
19:28:25.661: Awarded: 6 pts
19:28:25.663: Message received: teamAwesome,p@55w04d,6,DN82
19:28:25.665: Awarded: 0 pts
19:28:26.144: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.147: Awarded: 0 pts
19:28:26.148: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.159: Awarded: 6 pts
19:28:26.160: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.164: Awarded: 0 pts
19:28:26.168: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.169: Awarded: 0 pts
19:28:26.170: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.172: Awarded: 6 pts
19:28:26.174: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.177: Awarded: 0 pts
19:28:26.710: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.711: Awarded: 0 pts
19:28:26.713: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.714: Awarded: 6 pts
19:28:26.716: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.717: Awarded: 0 pts
19:28:26.719: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.720: Awarded: 0 pts
19:28:26.723: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.723: Awarded: 6 pts
19:28:26.724: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.729: Awarded: 0 pts
19:28:26.772: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.774: Awarded: 0 pts
19:28:26.775: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.778: Awarded: 6 pts
19:28:26.779: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.780: Awarded: 0 pts
19:28:26.781: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.783: Awarded: 0 pts
19:28:26.786: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.788: Awarded: 6 pts
19:28:26.791: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.793: Awarded: 0 pts
19:28:26.815: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.818: Awarded: 0 pts
19:28:26.820: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.821: Awarded: 6 pts
19:28:26.825: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.827: Awarded: 0 pts
19:28:26.835: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.838: Awarded: 0 pts
19:28:26.843: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.845: Awarded: 6 pts
19:28:26.847: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.850: Awarded: 0 pts
19:28:26.859: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.861: Awarded: 0 pts
19:28:26.863: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.866: Awarded: 6 pts
19:28:26.868: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.871: Awarded: 0 pts
19:28:26.874: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.876: Awarded: 0 pts
19:28:26.879: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.881: Awarded: 6 pts
19:28:26.883: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.887: Awarded: 0 pts
19:28:26.911: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.912: Awarded: 0 pts
19:28:26.914: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.917: Awarded: 6 pts
19:28:26.920: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.921: Awarded: 0 pts
19:28:26.923: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.926: Awarded: 0 pts
19:28:26.929: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.932: Awarded: 6 pts
19:28:26.933: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.935: Awarded: 0 pts
19:28:26.958: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:26.961: Awarded: 0 pts
19:28:26.962: Message received: teamAwesome,p@55w04d,2,GC76
19:28:26.963: Awarded: 6 pts
19:28:26.965: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:26.967: Awarded: 0 pts
19:28:26.972: Message received: teamAwesome,p@55w04d,4,5441
19:28:26.975: Awarded: 0 pts
19:28:26.977: Message received: teamAwesome,p@55w04d,5,FI35
19:28:26.980: Awarded: 6 pts
19:28:26.984: Message received: teamAwesome,p@55w04d,6,DN82
19:28:26.988: Awarded: 0 pts
19:28:27.603: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:27.605: Awarded: 0 pts
19:28:27.607: Message received: teamAwesome,p@55w04d,2,GC76
19:28:27.609: Awarded: 6 pts
19:28:27.610: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:27.612: Awarded: 0 pts
19:28:27.614: Message received: teamAwesome,p@55w04d,4,5441
19:28:27.618: Awarded: 0 pts
19:28:27.626: Message received: teamAwesome,p@55w04d,5,FI35
19:28:27.627: Awarded: 6 pts
19:28:27.628: Message received: teamAwesome,p@55w04d,6,DN82
19:28:27.630: Awarded: 0 pts
19:28:28.443: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:28.445: Awarded: 0 pts
19:28:28.447: Message received: teamAwesome,p@55w04d,2,GC76
19:28:28.448: Awarded: 6 pts
19:28:28.449: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:28.450: Awarded: 0 pts
19:28:28.451: Message received: teamAwesome,p@55w04d,4,5441
19:28:28.455: Awarded: 0 pts
19:28:28.457: Message received: teamAwesome,p@55w04d,5,FI35
19:28:28.460: Awarded: 6 pts
19:28:28.463: Message received: teamAwesome,p@55w04d,6,DN82
19:28:28.465: Awarded: 0 pts
19:28:28.984: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:28.986: Awarded: 0 pts
19:28:28.987: Message received: teamAwesome,p@55w04d,2,GC76
19:28:28.991: Awarded: 6 pts
19:28:28.992: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:28.994: Awarded: 0 pts
19:28:28.996: Message received: teamAwesome,p@55w04d,4,5441
19:28:28.997: Awarded: 0 pts
19:28:28.999: Message received: teamAwesome,p@55w04d,5,FI35
19:28:29.000: Awarded: 6 pts
19:28:29.003: Message received: teamAwesome,p@55w04d,6,DN82
19:28:29.006: Awarded: 0 pts
19:28:29.589: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:29.592: Awarded: 0 pts
19:28:29.593: Message received: teamAwesome,p@55w04d,2,GC76
19:28:29.594: Awarded: 6 pts
19:28:29.595: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:29.597: Awarded: 0 pts
19:28:29.599: Message received: teamAwesome,p@55w04d,4,5441
19:28:29.601: Awarded: 0 pts
19:28:29.603: Message received: teamAwesome,p@55w04d,5,FI35
19:28:29.606: Awarded: 6 pts
19:28:29.609: Message received: teamAwesome,p@55w04d,6,DN82
19:28:29.611: Awarded: 0 pts
19:28:30.172: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:30.176: Awarded: 0 pts
19:28:30.177: Message received: teamAwesome,p@55w04d,2,GC76
19:28:30.178: Awarded: 6 pts
19:28:30.179: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:30.181: Awarded: 0 pts
19:28:30.182: Message received: teamAwesome,p@55w04d,4,5441
19:28:30.183: Awarded: 0 pts
19:28:30.185: Message received: teamAwesome,p@55w04d,5,FI35
