19:42:20.411: Position 1: JE45
19:43:54.990: Awarded: 0 pts
19:43:54.992: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:54.993: Awarded: 0 pts
19:43:54.995: Message received: teamAwesome,p@55w04d,6,KG77
19:43:54.995: Awarded: 0 pts
19:43:55.766: Message received: teamAwesome,p@55w04d,1,AA00
19:43:55.768: Awarded: 0 pts
19:43:55.770: Message received: teamAwesome,p@55w04d,2,GH11
19:43:55.771: Awarded: 0 pts
19:43:55.773: Message received: teamAwesome,p@55w04d,3,KC11
19:43:55.774: Awarded: 6 pts
19:43:55.776: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:55.778: Awarded: 0 pts
19:43:55.783: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:55.787: Awarded: 0 pts
19:43:55.795: Message received: teamAwesome,p@55w04d,6,KG77
19:43:55.800: Awarded: 0 pts
19:43:56.767: Message received: teamAwesome,p@55w04d,1,AA00
19:43:56.768: Awarded: 0 pts
19:43:56.770: Message received: teamAwesome,p@55w04d,2,GH11
19:43:56.771: Awarded: 0 pts
19:43:56.772: Message received: teamAwesome,p@55w04d,3,KC11
19:43:56.773: Awarded: 6 pts
19:43:56.773: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:56.774: Awarded: 0 pts
19:43:56.787: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:56.790: Awarded: 0 pts
19:43:56.800: Message received: teamAwesome,p@55w04d,6,KG77
19:43:56.802: Awarded: 0 pts
19:43:57.400: Message received: teamAwesome,p@55w04d,1,AA00
19:43:57.402: Awarded: 0 pts
19:43:57.403: Message received: teamAwesome,p@55w04d,2,GH11
19:43:57.404: Awarded: 0 pts
19:43:57.405: Message received: teamAwesome,p@55w04d,3,KC11
19:43:57.406: Awarded: 6 pts
19:43:57.408: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:57.409: Awarded: 0 pts
19:43:57.410: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:57.414: Awarded: 0 pts
19:43:57.415: Message received: teamAwesome,p@55w04d,6,KG77
19:43:57.417: Awarded: 0 pts
19:43:57.934: Message received: teamAwesome,p@55w04d,1,AA00
19:43:57.935: Awarded: 0 pts
19:43:57.937: Message received: teamAwesome,p@55w04d,2,GH11
19:43:57.938: Awarded: 0 pts
19:43:57.939: Message received: teamAwesome,p@55w04d,3,KC11
19:43:57.940: Awarded: 6 pts
19:43:57.941: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:57.943: Awarded: 0 pts
19:43:57.944: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:57.954: Awarded: 0 pts
19:43:57.956: Message received: teamAwesome,p@55w04d,6,KG77
19:43:57.958: Awarded: 0 pts
19:43:57.997: Message received: teamAwesome,p@55w04d,1,AA00
19:43:57.998: Awarded: 0 pts
19:43:58.000: Message received: teamAwesome,p@55w04d,2,GH11
19:43:58.002: Awarded: 0 pts
19:43:58.005: Message received: teamAwesome,p@55w04d,3,KC11
19:43:58.006: Awarded: 6 pts
19:43:58.007: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:58.010: Awarded: 0 pts
19:43:58.018: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:58.019: Awarded: 0 pts
19:43:58.019: Message received: teamAwesome,p@55w04d,6,KG77
19:43:58.020: Awarded: 0 pts
19:43:58.042: Message received: teamAwesome,p@55w04d,1,AA00
19:43:58.044: Awarded: 0 pts
19:43:58.045: Message received: teamAwesome,p@55w04d,2,GH11
19:43:58.045: Awarded: 0 pts
19:43:58.047: Message received: teamAwesome,p@55w04d,3,KC11
19:43:58.050: Awarded: 6 pts
19:43:58.051: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:58.052: Awarded: 0 pts
19:43:58.054: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:58.058: Awarded: 0 pts
19:43:58.060: Message received: teamAwesome,p@55w04d,6,KG77
19:43:58.065: Awarded: 0 pts
19:43:58.081: Message received: teamAwesome,p@55w04d,1,AA00
19:43:58.083: Awarded: 0 pts
19:43:58.083: Message received: teamAwesome,p@55w04d,2,GH11
19:43:58.085: Awarded: 0 pts
19:43:58.087: Message received: teamAwesome,p@55w04d,3,KC11
19:43:58.088: Awarded: 6 pts
19:43:58.090: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:58.092: Awarded: 0 pts
19:43:58.094: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:58.096: Awarded: 0 pts
19:43:58.098: Message received: teamAwesome,p@55w04d,6,KG77
19:43:58.101: Awarded: 0 pts
19:43:58.131: Message received: teamAwesome,p@55w04d,1,AA00
19:43:58.132: Awarded: 0 pts
19:43:58.133: Message received: teamAwesome,p@55w04d,2,GH11
19:43:58.134: Awarded: 0 pts
19:43:58.135: Message received: teamAwesome,p@55w04d,3,KC11
19:43:58.137: Awarded: 6 pts
19:43:58.138: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:58.139: Awarded: 0 pts
19:43:58.141: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:58.144: Awarded: 0 pts
19:43:58.146: Message received: teamAwesome,p@55w04d,6,KG77
19:43:58.150: Awarded: 0 pts
19:43:59.156: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.166: Awarded: 0 pts
19:43:59.167: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.170: Awarded: 0 pts
19:43:59.171: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.176: Awarded: 6 pts
19:43:59.178: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.180: Awarded: 0 pts
19:43:59.181: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.182: Awarded: 0 pts
19:43:59.184: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.192: Awarded: 0 pts
19:43:59.202: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.203: Awarded: 0 pts
19:43:59.204: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.206: Awarded: 0 pts
19:43:59.216: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.218: Awarded: 6 pts
19:43:59.229: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.230: Awarded: 0 pts
19:43:59.233: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.246: Awarded: 0 pts
19:43:59.247: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.249: Awarded: 0 pts
19:43:59.250: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.253: Awarded: 0 pts
19:43:59.259: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.261: Awarded: 0 pts
19:43:59.265: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.270: Awarded: 6 pts
19:43:59.271: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.274: Awarded: 0 pts
19:43:59.279: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.286: Awarded: 0 pts
19:43:59.287: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.290: Awarded: 0 pts
19:43:59.312: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.314: Awarded: 0 pts
19:43:59.315: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.321: Awarded: 0 pts
19:43:59.331: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.345: Awarded: 6 pts
19:43:59.349: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.355: Awarded: 0 pts
19:43:59.361: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.363: Awarded: 0 pts
19:43:59.367: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.371: Awarded: 0 pts
19:43:59.402: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.405: Awarded: 0 pts
19:43:59.415: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.422: Awarded: 0 pts
19:43:59.432: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.435: Awarded: 6 pts
19:43:59.437: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.441: Awarded: 0 pts
19:43:59.443: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.446: Awarded: 0 pts
19:43:59.447: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.448: Awarded: 0 pts
19:43:59.490: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.493: Awarded: 0 pts
19:43:59.494: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.495: Awarded: 0 pts
19:43:59.497: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.498: Awarded: 6 pts
19:43:59.526: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.528: Awarded: 0 pts
19:43:59.531: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.538: Awarded: 0 pts
19:43:59.551: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.553: Awarded: 0 pts
19:43:59.571: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.575: Awarded: 0 pts
19:43:59.578: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.579: Awarded: 0 pts
19:43:59.583: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.585: Awarded: 6 pts
19:43:59.591: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.593: Awarded: 0 pts
19:43:59.594: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.596: Awarded: 0 pts
19:43:59.599: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.601: Awarded: 0 pts
19:43:59.633: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.634: Awarded: 0 pts
19:43:59.635: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.636: Awarded: 0 pts
19:43:59.638: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.641: Awarded: 6 pts
19:43:59.642: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.643: Awarded: 0 pts
19:43:59.644: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.650: Awarded: 0 pts
19:43:59.655: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.656: Awarded: 0 pts
19:43:59.696: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.699: Awarded: 0 pts
19:43:59.704: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.716: Awarded: 0 pts
19:43:59.723: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.728: Awarded: 6 pts
19:43:59.731: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.735: Awarded: 0 pts
19:43:59.738: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.740: Awarded: 0 pts
19:43:59.744: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.746: Awarded: 0 pts
19:43:59.861: Message received: teamAwesome,p@55w04d,1,AA00
19:43:59.862: Awarded: 0 pts
19:43:59.864: Message received: teamAwesome,p@55w04d,2,GH11
19:43:59.868: Awarded: 0 pts
19:43:59.870: Message received: teamAwesome,p@55w04d,3,KC11
19:43:59.873: Awarded: 6 pts
19:43:59.876: Message received: teamAwesome,p@55w04d,4,DHW7
19:43:59.879: Awarded: 0 pts
19:43:59.882: Message received: teamAwesome,p@55w04d,5,LLL7
19:43:59.887: Awarded: 0 pts
19:43:59.892: Message received: teamAwesome,p@55w04d,6,KG77
19:43:59.895: Awarded: 0 pts
19:44:00.010: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.013: Awarded: 0 pts
19:44:00.014: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.015: Awarded: 0 pts
19:44:00.016: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.017: Awarded: 6 pts
19:44:00.028: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.037: Awarded: 0 pts
19:44:00.041: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.045: Awarded: 0 pts
19:44:00.050: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.053: Awarded: 0 pts
19:44:00.165: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.166: Awarded: 0 pts
19:44:00.167: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.168: Awarded: 0 pts
19:44:00.169: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.170: Awarded: 6 pts
19:44:00.171: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.174: Awarded: 0 pts
19:44:00.176: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.179: Awarded: 0 pts
19:44:00.181: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.182: Awarded: 0 pts
19:44:00.250: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.253: Awarded: 0 pts
19:44:00.280: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.284: Awarded: 0 pts
19:44:00.286: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.287: Awarded: 6 pts
19:44:00.288: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.289: Awarded: 0 pts
19:44:00.290: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.293: Awarded: 0 pts
19:44:00.297: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.298: Awarded: 0 pts
19:44:00.387: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.390: Awarded: 0 pts
19:44:00.391: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.393: Awarded: 0 pts
19:44:00.393: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.395: Awarded: 6 pts
19:44:00.396: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.396: Awarded: 0 pts
19:44:00.398: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.399: Awarded: 0 pts
19:44:00.402: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.405: Awarded: 0 pts
19:44:00.588: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.590: Awarded: 0 pts
19:44:00.595: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.597: Awarded: 0 pts
19:44:00.603: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.610: Awarded: 6 pts
19:44:00.613: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.615: Awarded: 0 pts
19:44:00.618: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.618: Awarded: 0 pts
19:44:00.620: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.623: Awarded: 0 pts
19:44:00.754: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.756: Awarded: 0 pts
19:44:00.763: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.766: Awarded: 0 pts
19:44:00.769: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.772: Awarded: 6 pts
19:44:00.776: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.777: Awarded: 0 pts
19:44:00.778: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.779: Awarded: 0 pts
19:44:00.780: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.781: Awarded: 0 pts
19:44:00.912: Message received: teamAwesome,p@55w04d,1,AA00
19:44:00.915: Awarded: 0 pts
19:44:00.916: Message received: teamAwesome,p@55w04d,2,GH11
19:44:00.917: Awarded: 0 pts
19:44:00.917: Message received: teamAwesome,p@55w04d,3,KC11
19:44:00.918: Awarded: 6 pts
19:44:00.919: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:00.920: Awarded: 0 pts
19:44:00.920: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:00.927: Awarded: 0 pts
19:44:00.929: Message received: teamAwesome,p@55w04d,6,KG77
19:44:00.930: Awarded: 0 pts
19:44:01.076: Message received: teamAwesome,p@55w04d,1,AA00
19:44:01.077: Awarded: 0 pts
19:44:01.078: Message received: teamAwesome,p@55w04d,2,GH11
19:44:01.079: Awarded: 0 pts
19:44:01.080: Message received: teamAwesome,p@55w04d,3,KC11
19:44:01.081: Awarded: 6 pts
19:44:01.082: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:01.083: Awarded: 0 pts
19:44:01.085: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:01.087: Awarded: 0 pts
19:44:01.092: Message received: teamAwesome,p@55w04d,6,KG77
19:44:01.093: Awarded: 0 pts
19:44:01.280: Message received: teamAwesome,p@55w04d,1,AA00
19:44:01.281: Awarded: 0 pts
19:44:01.282: Message received: teamAwesome,p@55w04d,2,GH11
19:44:01.283: Awarded: 0 pts
19:44:01.288: Message received: teamAwesome,p@55w04d,3,KC11
19:44:01.293: Awarded: 6 pts
19:44:01.294: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:01.296: Awarded: 0 pts
19:44:01.309: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:01.317: Awarded: 0 pts
19:44:01.319: Message received: teamAwesome,p@55w04d,6,KG77
19:44:01.320: Awarded: 0 pts
19:44:01.452: Message received: teamAwesome,p@55w04d,1,AA00
19:44:01.454: Awarded: 0 pts
19:44:01.458: Message received: teamAwesome,p@55w04d,2,GH11
19:44:01.461: Awarded: 0 pts
19:44:01.462: Message received: teamAwesome,p@55w04d,3,KC11
19:44:01.465: Awarded: 6 pts
19:44:01.466: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:01.469: Awarded: 0 pts
19:44:01.471: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:01.473: Awarded: 0 pts
19:44:01.475: Message received: teamAwesome,p@55w04d,6,KG77
19:44:01.482: Awarded: 0 pts
19:44:01.593: Message received: teamAwesome,p@55w04d,1,AA00
19:44:01.594: Awarded: 0 pts
19:44:01.596: Message received: teamAwesome,p@55w04d,2,GH11
19:44:01.600: Awarded: 0 pts
19:44:01.602: Message received: teamAwesome,p@55w04d,3,KC11
19:44:01.604: Awarded: 6 pts
19:44:01.605: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:01.607: Awarded: 0 pts
19:44:01.608: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:01.610: Awarded: 0 pts
19:44:01.613: Message received: teamAwesome,p@55w04d,6,KG77
19:44:01.619: Awarded: 0 pts
19:44:01.821: Message received: teamAwesome,p@55w04d,1,AA00
19:44:01.823: Awarded: 0 pts
19:44:01.827: Message received: teamAwesome,p@55w04d,2,GH11
19:44:01.830: Awarded: 0 pts
19:44:01.831: Message received: teamAwesome,p@55w04d,3,KC11
19:44:01.835: Awarded: 6 pts
19:44:01.839: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:01.845: Awarded: 0 pts
19:44:01.848: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:01.849: Awarded: 0 pts
19:44:01.851: Message received: teamAwesome,p@55w04d,6,KG77
19:44:01.853: Awarded: 0 pts
19:44:01.890: Message received: teamAwesome,p@55w04d,1,AA00
19:44:01.891: Awarded: 0 pts
19:44:01.899: Message received: teamAwesome,p@55w04d,2,GH11
19:44:01.905: Awarded: 0 pts
19:44:01.907: Message received: teamAwesome,p@55w04d,3,KC11
19:44:01.910: Awarded: 6 pts
19:44:01.913: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:01.915: Awarded: 0 pts
19:44:01.917: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:01.918: Awarded: 0 pts
19:44:01.920: Message received: teamAwesome,p@55w04d,6,KG77
19:44:01.924: Awarded: 0 pts
19:44:02.116: Message received: teamAwesome,p@55w04d,1,AA00
19:44:02.119: Awarded: 0 pts
19:44:02.125: Message received: teamAwesome,p@55w04d,2,GH11
19:44:02.128: Awarded: 0 pts
19:44:02.131: Message received: teamAwesome,p@55w04d,3,KC11
19:44:02.132: Awarded: 6 pts
19:44:02.133: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:02.136: Awarded: 0 pts
19:44:02.139: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:02.142: Awarded: 0 pts
19:44:02.146: Message received: teamAwesome,p@55w04d,6,KG77
19:44:02.147: Awarded: 0 pts
19:44:02.241: Message received: teamAwesome,p@55w04d,1,AA00
19:44:02.245: Awarded: 0 pts
19:44:02.253: Message received: teamAwesome,p@55w04d,2,GH11
19:44:02.256: Awarded: 0 pts
19:44:02.273: Message received: teamAwesome,p@55w04d,3,KC11
19:44:02.276: Awarded: 6 pts
19:44:02.279: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:02.280: Awarded: 0 pts
19:44:02.283: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:02.285: Awarded: 0 pts
19:44:02.290: Message received: teamAwesome,p@55w04d,6,KG77
19:44:02.292: Awarded: 0 pts
19:44:02.488: Message received: teamAwesome,p@55w04d,1,AA00
19:44:02.490: Awarded: 0 pts
19:44:02.498: Message received: teamAwesome,p@55w04d,2,GH11
19:44:02.501: Awarded: 0 pts
19:44:02.502: Message received: teamAwesome,p@55w04d,3,KC11
19:44:02.503: Awarded: 6 pts
19:44:02.509: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:02.514: Awarded: 0 pts
19:44:02.514: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:02.522: Awarded: 0 pts
19:44:02.524: Message received: teamAwesome,p@55w04d,6,KG77
19:44:02.527: Awarded: 0 pts
19:44:02.629: Message received: teamAwesome,p@55w04d,1,AA00
19:44:02.635: Awarded: 0 pts
19:44:02.637: Message received: teamAwesome,p@55w04d,2,GH11
19:44:02.639: Awarded: 0 pts
19:44:02.640: Message received: teamAwesome,p@55w04d,3,KC11
19:44:02.643: Awarded: 6 pts
19:44:02.645: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:02.650: Awarded: 0 pts
19:44:02.652: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:02.654: Awarded: 0 pts
19:44:02.656: Message received: teamAwesome,p@55w04d,6,KG77
19:44:02.659: Awarded: 0 pts
19:44:02.741: Message received: teamAwesome,p@55w04d,1,AA00
19:44:02.742: Awarded: 0 pts
19:44:02.744: Message received: teamAwesome,p@55w04d,2,GH11
19:44:02.747: Awarded: 0 pts
19:44:02.752: Message received: teamAwesome,p@55w04d,3,KC11
19:44:02.755: Awarded: 6 pts
19:44:02.756: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:02.758: Awarded: 0 pts
19:44:02.763: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:02.771: Awarded: 0 pts
19:44:02.774: Message received: teamAwesome,p@55w04d,6,KG77
19:44:02.785: Awarded: 0 pts
19:44:02.955: Message received: teamAwesome,p@55w04d,1,AA00
19:44:02.957: Awarded: 0 pts
19:44:02.959: Message received: teamAwesome,p@55w04d,2,GH11
19:44:02.961: Awarded: 0 pts
19:44:02.962: Message received: teamAwesome,p@55w04d,3,KC11
19:44:02.964: Awarded: 6 pts
19:44:02.965: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:02.966: Awarded: 0 pts
19:44:02.969: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:02.972: Awarded: 0 pts
19:44:02.977: Message received: teamAwesome,p@55w04d,6,KG77
19:44:02.982: Awarded: 0 pts
19:44:03.126: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.129: Awarded: 0 pts
19:44:03.130: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.131: Awarded: 0 pts
19:44:03.135: Message received: teamAwesome,p@55w04d,3,KC11
19:44:03.138: Awarded: 6 pts
19:44:03.142: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:03.143: Awarded: 0 pts
19:44:03.149: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:03.154: Awarded: 0 pts
19:44:03.161: Message received: teamAwesome,p@55w04d,6,KG77
19:44:03.164: Awarded: 0 pts
19:44:03.252: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.254: Awarded: 0 pts
19:44:03.255: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.256: Awarded: 0 pts
19:44:03.257: Message received: teamAwesome,p@55w04d,3,KC11
19:44:03.258: Awarded: 6 pts
19:44:03.261: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:03.262: Awarded: 0 pts
19:44:03.266: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:03.269: Awarded: 0 pts
19:44:03.271: Message received: teamAwesome,p@55w04d,6,KG77
19:44:03.276: Awarded: 0 pts
19:44:03.347: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.348: Awarded: 0 pts
19:44:03.350: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.351: Awarded: 0 pts
19:44:03.355: Message received: teamAwesome,p@55w04d,3,KC11
19:44:03.356: Awarded: 6 pts
19:44:03.357: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:03.359: Awarded: 0 pts
